type,x1,y1,x2,y2,color,width
line,4660.0,560.0,4664.0,549.0,"(0.0, 0.0, 0.0)",3.0
line,4664.0,549.0,4656.0,549.0,"(0.0, 0.0, 0.0)",3.0
line,4656.0,549.0,4660.0,560.0,"(0.0, 0.0, 0.0)",3.0
line,4700.0,540.0,4700.0,560.0,"(0.0, 0.0, 0.0)",3.0
line,4700.0,560.0,4704.0,549.0,"(0.0, 0.0, 0.0)",3.0
line,4704.0,549.0,4696.0,549.0,"(0.0, 0.0, 0.0)",3.0
line,4696.0,549.0,4700.0,560.0,"(0.0, 0.0, 0.0)",3.0
line,4680.0,620.0,4680.0,640.0,"(0.0, 0.0, 0.0)",3.0
line,4680.0,640.0,4680.0,720.0,"(0.0, 0.0, 0.0)",3.0
line,4695.0,570.0,4665.0,570.0,"(0.0, 0.0, 0.0)",3.0
line,4665.0,610.0,4695.0,610.0,"(0.0, 0.0, 0.0)",3.0
line,4695.0,570.0,4695.0,575.0,"(0.0, 0.0, 0.0)",3.0
line,4695.0,610.0,4695.0,605.0,"(0.0, 0.0, 0.0)",3.0
line,4665.0,570.0,4680.0,590.0,"(0.0, 0.0, 0.0)",3.0
line,4680.0,590.0,4665.0,610.0,"(0.0, 0.0, 0.0)",3.0
line,4680.0,720.0,4680.0,740.0,"(0.0, 0.0, 0.0)",3.0
line,4680.0,740.0,4684.0,729.0,"(0.0, 0.0, 0.0)",3.0
line,4684.0,729.0,4676.0,729.0,"(0.0, 0.0, 0.0)",3.0
line,4676.0,729.0,4680.0,740.0,"(0.0, 0.0, 0.0)",3.0
line,4680.0,800.0,4680.0,820.0,"(0.0, 0.0, 0.0)",3.0
line,4300.0,960.0,4320.0,960.0,"(0.0, 0.0, 0.0)",3.0
line,4320.0,960.0,4680.0,960.0,"(0.0, 0.0, 0.0)",3.0
line,4680.0,960.0,4680.0,1160.0,"(0.0, 0.0, 0.0)",3.0
line,4300.0,960.0,4260.0,1000.0,"(0.0, 0.0, 0.0)",3.0
line,4260.0,1000.0,4220.0,960.0,"(0.0, 0.0, 0.0)",3.0
line,4220.0,960.0,4260.0,920.0,"(0.0, 0.0, 0.0)",3.0
line,4260.0,920.0,4300.0,960.0,"(0.0, 0.0, 0.0)",3.0
line,4920.0,1020.0,4920.0,1080.0,"(0.0, 0.0, 0.0)",3.0
line,4920.0,1080.0,4920.0,1340.0,"(0.0, 0.0, 0.0)",3.0
line,4920.0,1340.0,4540.0,1340.0,"(0.0, 0.0, 0.0)",3.0
line,4540.0,1340.0,4540.0,1220.0,"(0.0, 0.0, 0.0)",3.0
line,4540.0,1220.0,4620.0,1220.0,"(0.0, 0.0, 0.0)",3.0
line,4920.0,940.0,4960.0,980.0,"(0.0, 0.0, 0.0)",3.0
line,4960.0,980.0,4920.0,1020.0,"(0.0, 0.0, 0.0)",3.0
line,4920.0,1020.0,4880.0,980.0,"(0.0, 0.0, 0.0)",3.0
line,4880.0,980.0,4920.0,940.0,"(0.0, 0.0, 0.0)",3.0
line,4840.0,1038.0,4842.0,1038.0,"(0.0, 0.0, 0.0)",3.0
line,4842.0,1038.0,4840.0,1032.0,"(0.0, 0.0, 0.0)",3.0
line,4840.0,1032.0,4840.0,1038.0,"(0.0, 0.0, 0.0)",3.0
line,4836.0,1040.0,4840.0,1020.0,"(0.0, 0.0, 0.0)",3.0
line,4840.0,1020.0,4844.0,1040.0,"(0.0, 0.0, 0.0)",3.0
line,4844.0,1040.0,4840.0,1024.0,"(0.0, 0.0, 0.0)",3.0
